0,Model: FastText Test Set,,,,,
0,,,,,,
sadness,1438,79,49,72,72,33
joy,65,1258,167,33,32,45
love,39,163,1454,31,15,23
anger,66,37,17,1603,74,13
fear,52,27,13,67,1445,158
surprise,6,21,9,8,116,1633
0,,,,,,
0,Model: DistilBERT Test Set,,,,,
0,,,,,,
sadness,1459,57,55,68,70,34
joy,65,1237,179,44,30,45
love,37,74,1551,30,14,19
anger,35,20,20,1654,68,13
fear,29,16,15,61,1485,156
surprise,2,1,8,3,12,1767
0,,,,,,
0,Model: Softmax (TF-IDF),,,,,
0,,,,,,
sadness,1407,82,62,77,64,27
joy,64,1335,190,39,39,49
love,52,113,1548,25,24,19
anger,51,36,30,1552,72,15
fear,41,36,29,54,1405,137
surprise,4,5,9,6,27,1708
0,,,,,,
0,Model: Naive Bayes (TF-IDF),,,,,
0,,,,,,
sadness,1393,77,72,67,68,42
joy,60,1313,186,40,56,61
love,54,191,1436,32,39,29
anger,88,67,38,1467,79,17
fear,55,46,33,57,1375,136
surprise,36,78,33,10,80,1522
0,,,,,,
0,Model: KNN (TF-IDF),,,,,
0,,,,,,
sadness,1256,107,112,80,97,67
joy,82,1182,226,47,82,97
love,69,220,1342,38,55,57
anger,156,88,70,1282,113,47
fear,93,89,57,82,1209,172
surprise,73,120,81,43,173,1269
0,,,,,,
0,Model: Decision Tree (TF-IDF),,,,,
0,,,,,,
sadness,1329,81,100,105,75,29
joy,129,1185,242,70,39,51
love,69,180,1458,28,21,25
anger,98,28,49,1474,94,13
fear,54,28,48,73,1353,146
surprise,5,21,7,15,184,1527
0,,,,,,
0,Model: Softmax (Bag-of-Words),,,,,
0,,,,,,
sadness,1419,95,49,67,59,30
joy,66,1347,183,36,35,49
love,53,137,1521,24,24,22
anger,51,40,28,1549,72,16
fear,47,37,19,49,1411,139
surprise,3,6,7,5,20,1718
0,,,,,,
0,Model: Naive Bayes (Bag-of-Words),,,,,
0,,,,,,
sadness,1385,76,74,72,73,39
joy,68,1279,203,43,57,66
love,54,185,1448,33,37,24
anger,81,57,46,1466,90,16
fear,54,39,32,64,1374,139
surprise,22,50,23,8,76,1580
0,,,,,,
0,Model: KNN (Bag-of-Words),,,,,
0,,,,,,
sadness,1196,203,124,81,81,34
joy,156,1171,246,42,51,50
love,89,226,1384,27,37,18
anger,221,203,95,1136,81,20
fear,106,101,68,77,1190,160
surprise,48,72,44,19,128,1448
0,,,,,,
0,Model: Decision Tree (Bag-of-Words),,,,,
0,,,,,,
sadness,1343,79,83,113,71,30
joy,111,1257,209,53,39,47
love,57,166,1498,26,16,18
anger,82,29,45,1498,90,12
fear,53,26,43,60,1378,142
surprise,5,25,13,8,169,1539
0,,,,,,
0,Model: Softmax (Bag-of-Words) Test Set,,,,,
0,,,,,,
sadness,1421,90,50,73,71,38
joy,71,1266,156,28,33,46
love,40,121,1492,30,17,25
anger,68,38,27,1582,75,20
fear,47,22,15,55,1466,157
surprise,3,4,6,2,25,1753
0,,,,,,
